Seed Label,Network,MNI coordinates,,
,,x,y,z
L_VI,VIS,-24,-79,-7
L_FOV,VIS,-8,-79,18
R_VI,VIS,27,-77,-4
R_FOV,VIS,13,-75,22
L_PIPS,DAN,-22,-68,52
L_MT,DAN,-45,-59,-8
L_FEF,DAN,-27,-6,55
R_PIPS,DAN,24,-64,53
R_MT,DAN,49,-52,-11
R_FEF,DAN,25,-7,57
L_CS,MOT,-23,-27,63
SMA,MOT,-1,-25,63
L_SII,MOT,-51,-16,16
R_CS,MOT,23,-24,63
R_SII,MOT,50,-12,15
L_STS,VAN,-59,-32,27
L_MFG,VAN,-44,0,1
R_SMG,VAN,61,-30,28
R_rVFC,VAN,44,17,3
L_dPFC,SAL,2,24,33
L_aPFC,SAL,-43,38,12
L_Ins,SAL,-34,21,-1
R_Ins,SAL,39,23,1
L_lat_part,SAL,-62,-42,35
R_dPFC,SAL,-6,23,33
R_aPFC,SAL,32,46,28
R_lat_par,SAL,-6,-51,31
L_medial??,FPN,-3,28,46
L_ant_PFC,FPN,-43,23,40
R_sup_par,FPN,53,-51,47
L_sup_par,FPN,-48,-54,50
L_dPFC,EXE,-43,13,28
L_IPS,EXE/CON,-38,-51,44
L_IPS,EXE/CON,62,-38,35
R_dlPFC,EXE/CON,45,21,23
R_IPS,EXE/CON,42,-49,45
L_PCC,DMN,-57,-12,-18
L_ITG,DMN,-45,-68,38
L_AG,DMN,-22,28,46
L_SFS,DMN,-8,51,5
L_MPFC,DMN,62,-6,-18
R_ITG,DMN,52,-57,29
R_AG,DMN,24,36,44
R_SFS,DMN,8,50,5
R_MPFC,DMN,9,49,5
